nome;email;matricula;cpf
Jorge Lucas;jorgelucasdelima87@gmail.com;344423423;123123123123
Jorge Lucas;jorgelucasdelima87@gmail.com;344423423;123123123123
Jorge Lucas;jorgelucasdelima87@gmail.com;344423423;123123123123
dsda;dsadad@gmail.com;31321314444444;34678565
dsda;dsadad@gmail.com;31321314444444;34678565
dsda;dsadad@gmail.com;31321314444444;34678565
dsda;dsadad@gmail.com;31321314444444;34678565
eqwe;1242@gmail.com;4234;6547547
Jorge Lucasew;jorgelucasdelima87@gmail.com;912874891;1297131213
Jorge Lucasew;jorgelucasdelima87@gmail.com;912874891;1297131213
